question ,answer
What jersey number does Stephen Curry wear? ,30
Stamford Bridge is the home stadium for which Premier League club? ,Chelsea
What is the most popular sport in the United States? ,American Football
Who is known as "The Greatest" in boxing? ,Muhammad Ali
What sport is played at Wimbledon? ,Tennis
What team has won the most UEFA Champions League titles of all time? ,Real Madrid
In what sport would you find the terms "double fault" and "ace"? ,Tennis
What is the name of the annual championship game of the National Football League (NFL)? ,Super Bowl
In which sport can you perform a "header"? ,Soccer
Who is often referred to as "The Black Mamba"? ,Kobe Bryant
Who holds the record for the most goals scored in a single NHL season? ,Wayne Gretzky
What country won the 2018 FIFA World Cup? ,France
Which team has won the most championships in the history of the NBA? ,Boston Celtics
Who is the only player to have won five FIFA Ballon d'Or awards? ,Lionel Messi
In which sport would you perform a "slam dunk"? ,Basketball
Who is the fastest man in the world? ,Usain Bolt
Which country is credited with inventing the sport of cricket? ,England
What term is used in American football to describe scoring six points by crossing the goal line with the ball? ,Touchdown
Which city hosted the 2016 Summer Olympics? ,Rio de Janeiro
Who holds the record for the most Olympic gold medals by an individual athlete? ,Michael Phelps
